1,2,3,4,5,6,7,8,yuyu
0.090,0.953,1.734,2.511,3.367,4.042,4.887,5.643,6.231
0.005,0.822,1.647,2.512,3.337,4.096,4.891,5.634,6.263
0.024,0.949,1.697,2.451,3.405,4.151,4.925,5.611,6.225
-0.028,0.876,1.793,2.565,3.324,4.120,4.819,5.639,6.299
0.048,0.835,1.729,2.492,3.244,4.131,4.868,5.530,6.273
0.025,0.851,1.715,2.519,3.284,4.122,4.923,5.569,6.195
0.043,0.880,1.719,2.520,3.285,4.141,4.905,5.567,6.241
0.006,0.825,1.718,2.590,3.307,4.063,4.890,5.541,6.227
0.016,0.834,1.767,2.479,3.289,4.135,4.893,5.627,6.194
-0.010,0.904,1.638,2.587,3.371,4.086,4.797,5.526,6.256
-0.016,0.832,1.714,2.549,3.320,4.145,4.901,5.594,6.235
-0.050,0.864,1.751,2.500,3.309,4.090,4.916,5.558,6.265
0.012,0.839,1.681,2.642,3.310,4.057,4.839,5.574,6.260
0.062,0.844,1.681,2.482,3.276,4.077,4.899,5.538,6.266
0.038,0.891,1.743,2.534,3.318,4.168,4.855,5.647,6.242
0.067,0.834,1.693,2.529,3.293,4.093,4.840,5.586,6.251
0.005,0.810,1.755,2.489,3.354,4.089,4.776,5.530,6.325
0.058,0.860,1.747,2.558,3.333,4.193,4.877,5.555,6.321
-0.047,0.872,1.677,2.555,3.376,4.059,4.896,5.606,6.293
0.025,0.859,1.782,2.559,3.303,4.065,4.875,5.645,6.200
0.031,0.883,1.743,2.563,3.415,4.143,4.854,5.593,6.237
0.004,0.872,1.749,2.532,3.347,4.060,4.874,5.615,6.234
0.015,0.910,1.695,2.553,3.329,4.135,4.870,5.599,6.260
0.050,0.853,1.690,2.519,3.350,4.177,4.857,5.588,6.262
0.049,0.811,1.673,2.571,3.404,4.138,4.913,5.540,6.215
-0.004,0.827,1.683,2.560,3.296,4.221,4.867,5.611,6.214
0.037,0.900,1.668,2.550,3.301,4.048,4.898,5.564,6.194
0.016,0.891,1.738,2.522,3.344,4.153,4.806,5.570,6.167
0.051,0.854,1.709,2.502,3.386,4.104,4.872,5.629,6.290
0.098,0.855,1.710,2.545,3.317,4.052,4.941,5.581,6.223
0.035,0.819,1.656,2.547,3.362,4.217,4.848,5.621,6.252
-0.033,0.931,1.710,2.523,3.317,4.138,4.901,5.520,6.191
0.078,0.862,1.712,2.528,3.248,4.196,4.931,5.553,6.233
-0.060,0.957,1.716,2.559,3.301,4.143,4.891,5.538,6.258
-0.024,0.762,1.708,2.506,3.361,4.098,4.860,5.549,6.266
0.012,0.880,1.680,2.479,3.254,4.165,4.784,5.490,6.285
0.049,0.861,1.707,2.508,3.370,4.174,4.781,5.584,6.230
0.077,0.843,1.716,2.459,3.418,4.100,4.861,5.611,6.274
0.002,0.903,1.673,2.610,3.363,4.120,4.826,5.585,6.231
0.069,0.858,1.723,2.548,3.265,4.022,4.833,5.608,6.258
0.051,0.854,1.750,2.598,3.380,4.131,4.900,5.599,6.235
-0.001,0.841,1.663,2.505,3.324,4.087,4.856,5.638,6.263
0.021,0.789,1.721,2.495,3.366,4.114,4.851,5.622,6.236
0.033,0.817,1.725,2.559,3.329,4.077,4.945,5.641,6.250
0.052,0.843,1.764,2.463,3.307,4.092,4.863,5.642,6.225
-0.030,0.808,1.730,2.560,3.371,4.148,4.872,5.596,6.236
0.028,0.916,1.730,2.493,3.368,4.073,4.905,5.590,6.235
0.031,0.887,1.723,2.457,3.331,4.094,4.878,5.581,6.232
-0.021,0.808,1.727,2.576,3.330,4.090,4.886,5.508,6.250
0.003,0.920,1.668,2.474,3.367,4.075,4.939,5.655,6.333
-0.005,0.911,1.750,2.572,3.303,4.137,4.847,5.526,6.216
0.042,0.915,1.654,2.515,3.355,4.086,4.904,5.632,6.236
0.057,0.934,1.756,2.529,3.340,4.176,4.881,5.578,6.288
0.044,0.912,1.716,2.511,3.310,4.205,4.905,5.617,6.320
0.010,0.896,1.718,2.495,3.316,4.132,4.909,5.593,6.271
0.036,0.891,1.700,2.520,3.339,4.123,4.861,5.655,6.240
-0.037,0.875,1.666,2.511,3.346,4.051,4.832,5.599,6.214
0.024,0.838,1.692,2.588,3.400,4.080,4.830,5.619,6.270
-0.040,0.942,1.713,2.502,3.306,4.064,4.940,5.584,6.135
0.080,0.915,1.699,2.558,3.353,4.162,4.880,5.510,6.258
-0.002,0.883,1.736,2.488,3.340,4.095,4.867,5.600,6.251
-0.010,0.880,1.721,2.438,3.309,4.117,4.801,5.584,6.249
0.053,0.862,1.672,2.567,3.414,4.129,4.927,5.564,6.281
-0.008,0.874,1.733,2.564,3.292,4.067,4.875,5.580,6.311
0.067,0.829,1.677,2.609,3.282,4.066,4.858,5.574,6.184
0.006,0.849,1.718,2.589,3.299,4.117,4.968,5.563,6.263
0.032,0.862,1.764,2.452,3.325,4.106,4.860,5.620,6.189
0.042,0.876,1.723,2.555,3.368,4.162,4.844,5.626,6.183
0.042,0.848,1.693,2.496,3.293,4.070,4.908,5.534,6.240
0.007,0.925,1.698,2.511,3.404,4.128,4.846,5.511,6.224
0.018,0.930,1.685,2.582,3.356,4.114,4.896,5.633,6.231
-0.046,0.851,1.743,2.489,3.342,4.136,4.922,5.628,6.235
0.023,0.845,1.687,2.463,3.317,4.165,4.838,5.571,6.267
0.009,0.888,1.672,2.530,3.263,4.121,4.826,5.628,6.286
-0.005,0.872,1.754,2.539,3.306,4.154,4.929,5.533,6.207
-0.035,0.892,1.707,2.561,3.324,4.108,4.852,5.569,6.260
0.084,0.900,1.790,2.568,3.303,4.064,4.908,5.580,6.227
0.049,0.856,1.630,2.516,3.332,4.133,4.840,5.511,6.204
-0.031,0.813,1.726,2.453,3.399,4.150,4.808,5.553,6.207
0.004,0.880,1.741,2.539,3.275,4.103,4.905,5.660,6.274
0.071,0.867,1.770,2.482,3.324,4.092,4.915,5.548,6.211
0.032,0.755,1.741,2.473,3.373,4.188,4.893,5.573,6.249
0.019,0.851,1.680,2.564,3.401,4.084,4.839,5.559,6.230
0.063,0.830,1.659,2.492,3.381,4.032,4.900,5.568,6.197
0.046,0.858,1.619,2.521,3.316,4.139,4.917,5.589,6.212
0.037,0.849,1.733,2.552,3.364,4.070,4.944,5.622,6.291
0.002,0.922,1.731,2.554,3.321,4.161,4.862,5.597,6.230
0.053,0.877,1.729,2.454,3.328,4.082,4.843,5.570,6.300
0.030,0.863,1.628,2.598,3.382,4.099,4.843,5.591,6.217
-0.005,0.844,1.713,2.541,3.265,4.067,4.904,5.574,6.301
0.053,0.857,1.655,2.507,3.315,4.167,4.938,5.533,6.231
0.048,0.876,1.785,2.511,3.415,4.128,4.875,5.600,6.267
-0.066,0.880,1.699,2.492,3.368,4.099,4.847,5.612,6.215
0.151,0.908,1.698,2.508,3.343,4.090,4.942,5.600,6.315
0.026,0.860,1.733,2.580,3.314,4.066,4.914,5.530,6.218
0.038,0.874,1.670,2.552,3.352,4.187,4.797,5.632,6.202
0.004,0.883,1.757,2.530,3.319,4.116,4.905,5.529,6.300
0.011,0.862,1.676,2.561,3.394,4.166,4.930,5.595,6.305
0.069,0.870,1.715,2.586,3.381,4.088,4.897,5.664,6.259
0.019,0.836,1.669,2.565,3.319,4.127,4.895,5.599,6.360
0.088,0.873,1.740,2.532,3.389,4.129,4.878,5.580,6.223
0.046,0.927,1.758,2.478,3.311,4.134,4.853,5.626,6.196
0.094,0.907,1.665,2.534,3.327,4.100,4.877,5.640,6.240
0.038,0.830,1.706,2.511,3.303,4.101,4.926,5.596,6.222
0.053,0.869,1.678,2.598,3.409,4.162,4.909,5.653,6.260
